title,url,text,category,answer
Jiří Chalupa,https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Chalupa,"Jiří Chalupa (* 16. květen 1946 Praha) je dramaturg a scenárista České televize a v minulosti Československé televize. Je známý jako moderátor původního Studia Kamarád, kde působil společně s Lenkou Vavrinčíkovou. Je autorem scénářů k osmi pohádkám a jako dramaturg se podílel na téměř 50 filmech, z nichž většinu tvoří také pohádky.
",Moderátoři CZ,Dramaturg
Florestano Di Fausto,https://cs.wikipedia.org/wiki/Florestano_Di_Fausto,"Florestano Di Fausto (16. července 1890, Rocca Canterano, Itálie – 11. ledna 1965, Řím, Itálie) byl italský architekt, inženýr a politik. Byl rovněž i poslancem italského parlamentu.[1]
",Italští architekti,Architekt.
Václav Bednář,https://cs.wikipedia.org//wiki/V%C3%A1clav_Bedn%C3%A1%C5%99,"Václav Bednář (20. prosince 1905 Ostrava – 12. listopadu 1987 Praha) byl český operní pěvec-barytonista.
",Operní pěvci cz,Pěvec
Antonín Švorc,https://cs.wikipedia.org//wiki/Anton%C3%ADn_%C5%A0vorc,"Antonín Švorc (12. února 1934 Jaroměř – 21. února 2011 Praha [1][2]) byl český operní pěvec-barytonista.
",Operní pěvci cz,Pěvec
Michelozzo,https://cs.wikipedia.org/wiki/Michelozzo,"Michelozzo di Bartolomeo Michelozzi (1396, Florencie – 7. října 1472, Florencie) byl italský architekt a sochař. Je považovaný za jednoho z průkopníků renesanční architektury.
",Italští architekti,Architekt.
Pavla Topolánková,https://cs.wikipedia.org//wiki/Pavla_Topol%C3%A1nkov%C3%A1,"Pavla Topolánková, rozená Patáková[1], (* 7. května 1955 Bohumín) je bývalá[2] manželka Mirka Topolánka, podnikatelka a politička strany Politika 21.
",Podnikatelky cz,podnikatelka
Josef Polák (botanik),https://cs.wikipedia.org/wiki/Josef_Pol%C3%A1k_(botanik),"Josef Polák (18. března 1844 Nové Benátky[1] – 24. října 1899 Perth) byl český botanik, zahradník, květinář, šlechtitel a výzkumník dlouhodobě žijící a působící v Západní Austrálii. Byl jedním z prvních českých kolonistů v této části země, následně se vypracoval na zahradníka guvernérských zahrad v Perthu a posléze se také zúčastnil přírodovědné expedice při toku australské řeky Gascoyne.
",Cestovatelé CZ,Botanik.
Adrianna Luna,https://cs.wikipedia.org//wiki/Adrianna_Luna,"Adrianna Luna (* 12. května 1984, Los Angeles, Kalifornie, USA) je pseudonym americké pornoherečky, modelky a tanečnice mexicko-filipínského původu. Svoji kariéru začala v březnu roku 2011. Objevila se na obálce magazínu Penthouse pro listopad 2012.
",Pornoherečky usa,Pornoherečka.
Michal Deus,https://cs.wikipedia.org/wiki/Michal_Deus,"Michal Deus (* 8. prosince 1976, Praha) je český podnikatel, moderátor, pedagog a producent.
",Moderátoři CZ,Podnikatel.
Karel Čáslavský,https://cs.wikipedia.org/wiki/Karel_%C4%8C%C3%A1slavsk%C3%BD,"Karel Čáslavský (28. ledna 1937, Lipnice nad Sázavou – 2. ledna 2013,[1] Praha) byl český filmový archivář, historik, publicista a moderátor, pracovník Národního filmového archivu specializovaný na oblast zpravodajského filmu do roku 1945.
",Moderátoři CZ,Archivář
Tomáš Janků,https://cs.wikipedia.org//wiki/Tom%C3%A1%C5%A1_Jank%C5%AF,"Tomáš Janků (* 27. prosince 1974, Jablonec nad Nisou) je bývalý český atlet, výškař.
",Olympionici cz,Atlet.
Míra Hejda,https://cs.wikipedia.org/wiki/M%C3%ADra_Hejda,"Míra Hejda, vlastním jménem Miroslav Hejda (* 10. října 1983 Plzeň), je český moderátor, producent a podnikatel. Mezi lety 2014 a 2020 moderoval televizní pořad Snídaně s Novou s manželkou Zorkou. Moderuje vlastní talkshow Limuzína na TV Óčko. Jako Osobní řidič má na Primě show o autech a provozuje dvě online televize o bydlení a architektuře.
",Moderátoři CZ,Moderátor
Domenico Fontana,https://cs.wikipedia.org/wiki/Domenico_Fontana,"Domenico Fontana (1543, Melide, Švýcarsko – 28. června 1607, Neapol, Itálie) byl italský architekt, malíř a sochař pozdní renesance.
",Italští architekti,Architekt
Filip Sychra,https://cs.wikipedia.org/wiki/Filip_Sychra,"Filip Sychra (* 16. října 1972 Praha) je český herec, moderátor, zpěvák, pedagog a publicista. K divadlu a hudbě měl blízko díky své matce Mileně Zahrynowské, která působila v Hudebním divadle Karlín, v televizi a ve filmu. A také díky babičce Zdeňce, houslové virtuosce, dceři českého nakladatele a skladatele Karla Josefa Barvitia.[1] Jeho obchod s hudebninami, hudebními nástroji i nakladatelství převzal v roce 1914 bratr Zdeňky, Karel Barvitius, a vedl jej až do roku 1949, kdy byly nakladatelství a obchod násilně vyvlastněny komunistickým režimem.
",Moderátoři CZ,Herec
Alena Hanušová,https://cs.wikipedia.org//wiki/Alena_Hanu%C5%A1ov%C3%A1,"Alena Hanušová (* 29. květen 1991 Sokolov) je česká basketbalová reprezentantka, hrající na pozici křídla. V reprezentaci působí už od mládežnických kategorií. Do seniorské reprezentace se poprvé dostala v roce 2011, kdy s národním týmem skončila na Mistrovství Evropy na 4. místě. Startovala též na Letních olympijských hrách 2012, kde se Češky umístily na sedmé příčce.
",Olympionici cz,Basketbalistka
Josef Carda,https://cs.wikipedia.org/wiki/Josef_Carda,"Josef Carda (* 18. ledna 1956 Ústí nad Labem) je český herec, bavič a moderátor.
",Moderátoři CZ,Herec
Petr Lacina,https://cs.wikipedia.org//wiki/Petr_Lacina,"Petr Lacina (* 27. července 1973 Praha) je bývalý český zápasník-judista, účastník olympijských her v roce 1996 a dlouholetý šéftrenér české judistické reprezentace.
",Olympionici cz,Zápasník
František Vymětal,https://cs.wikipedia.org/wiki/Franti%C5%A1ek_Vym%C4%9Btal,"František Vymětal (1. srpna 1920 Ladín – 17. srpna 2000 Olomouc) byl katolický kněz, kanovník Metropolitní kapituly u svatého Václava v Olomouci, předseda prokomunistické katolické organizace Pacem in terris a bezpartijní poslanec České národní rady a Sněmovny lidu Federálního shromáždění za normalizace.
",Teologové CZ,Kněz
Lippo Memmi,https://cs.wikipedia.org/wiki/Lippo_Memmi,"Lippo Memmi, vlastním jménem Filippo di Memmo Filipucci[1] (asi 1285 Siena – 1357 Siena), byl italský gotický malíř a architekt toskánského původu, činný v Sieně, Pise, Orvietu a San Gimignanu.
",Italští architekti,Malíř
C. R. Hagen,https://cs.wikipedia.org//wiki/C._R._Hagen,"Carl Richard Hagen (* 2. února 1937 Chicago, Illinois) je americký fyzik, který působí jako profesor na Rochesterské univerzitě. Nejvíce se proslavil příspěvkem ke standardnímu modelu a narušení symetrie, když v roce 1964 společně s Geraldem Guralnikem a Tomem Kibble objevili Higgsův mechanismus a Higgsův boson.[1][2][3][4][5] Časopis Physical Review Letters jmenoval při oslavách 50. výročí svého založení tento objev jako jeden z nejdůležitějších ve své historii.[6] Obecně je přijímáno, že autorem nejkomplexnější práce o Higgsově mechanismu je Peter Higgs, skupina Guralnika, Hagena a Kibbleho nebyla sporně zahrnuta do udělení Nobelovy ceny v roce 2013.[7][8][9][10][11][12] Hagen získal v roce 2010 Sakuraiovu cenu.[13][14][15][16][17]
",Fyzikové,Fyzik
Radovan Fořt,https://cs.wikipedia.org//wiki/Radovan_Fo%C5%99t,"Radovan Fořt (* 14. února 1965 Ústí nad Labem) je bývalý český reprezentant v cyklokrosu, silniční cyklistice a na horských kolech. Závodil za kluby Spartak Ústí nad Labem, RH Hradec Králové, RH Plzeň, SKP Duha Lanškroun. V roce 1982 získal 3. místo na MS juniorů v cyklokrosu. V roce 1986 se účastnil Závodu míru[1]. V roce 1996 startoval na premiéře MTB na LOH v Atlantě a obsadil 24. místo[2], což bylo nejlepší olympijské umístění českých bikerů až do roku 2004, kdy jej překonal Radim Kořínek. V současnosti provozuje v Lanškrouně prodejnu Cyklo Fořt (od roku 2005).
",Olympionici cz,Cyklista
